DATE,EXPIRY,STRIKE_PRC,TIME_MC,F,MD,MD_Close,N,C,BID,ASK
23/4/2018,0,28200,16:00,30252,27/4/2018,30149.5,4,0,6,8
23/4/2018,0,28000,16:00,30252,27/4/2018,30149.5,4,0,5,6
23/4/2018,0,31000,16:00,30252,27/4/2018,30149.5,4,1,19,20
23/4/2018,0,28400,16:00,30252,27/4/2018,30149.5,4,0,8,10
23/4/2018,0,29000,16:00,30252,27/4/2018,30149.5,4,0,21,23
23/4/2018,0,29200,16:00,30252,27/4/2018,30149.5,4,0,30,32
23/4/2018,0,29400,16:00,30252,27/4/2018,30149.5,4,0,44,45
23/4/2018,0,28600,16:00,30252,27/4/2018,30149.5,4,0,12,13
23/4/2018,0,31000,16:00,30252,27/4/2018,30149.5,4,0,764,774
23/4/2018,1,26000,16:00,30088.5,30/5/2018,30054,24,0,29,31
23/4/2018,1,34400,16:00,30088.5,30/5/2018,30054,24,1,5,7
23/4/2018,1,33600,16:00,30088.5,30/5/2018,30054,24,1,10,12
23/4/2018,1,31200,16:00,30088.5,30/5/2018,30054,24,1,193,198
23/4/2018,1,34000,16:00,30088.5,30/5/2018,30054,24,1,6,8
23/4/2018,1,33400,16:00,30088.5,30/5/2018,30054,24,1,13,15
23/4/2018,1,33800,16:00,30088.5,30/5/2018,30054,24,1,8,10
23/4/2018,1,30400,16:00,30088.5,30/5/2018,30054,24,1,461,468
23/4/2018,1,30800,16:00,30088.5,30/5/2018,30054,24,1,307,309
23/4/2018,1,25400,16:00,30088.5,30/5/2018,30054,24,0,20,22
23/4/2018,1,29600,16:00,30088.5,30/5/2018,30054,24,1,901,941
23/4/2018,1,33000,16:00,30088.5,30/5/2018,30054,24,1,21,24
23/4/2018,1,32400,16:00,30088.5,30/5/2018,30054,24,1,44,47
23/4/2018,1,32600,16:00,30088.5,30/5/2018,30054,24,1,35,37
23/4/2018,1,33200,16:00,30088.5,30/5/2018,30054,24,1,16,19
23/4/2018,1,31800,16:00,30088.5,30/5/2018,30054,24,1,93,96
23/4/2018,1,28400,16:00,30088.5,30/5/2018,30054,24,0,172,177
23/4/2018,1,31400,16:00,30088.5,30/5/2018,30054,24,1,152,156
23/4/2018,1,29200,16:00,30088.5,30/5/2018,30054,24,0,319,323
23/4/2018,1,30400,16:00,30088.5,30/5/2018,30054,24,0,773,782
23/4/2018,1,30200,16:00,30088.5,30/5/2018,30054,24,0,671,679
23/4/2018,1,29800,16:00,30088.5,30/5/2018,30054,24,1,786,795
23/4/2018,1,30000,16:00,30088.5,30/5/2018,30054,24,0,581,587
23/4/2018,1,32000,16:00,30088.5,30/5/2018,30054,24,1,73,76
23/4/2018,1,31600,16:00,30088.5,30/5/2018,30054,24,1,118,123
23/4/2018,1,28600,16:00,30088.5,30/5/2018,30054,24,0,200,206
23/4/2018,1,28800,16:00,30088.5,30/5/2018,30054,24,0,235,239
23/4/2018,1,25800,16:00,30088.5,30/5/2018,30054,24,0,24,30
23/4/2018,1,29400,16:00,30088.5,30/5/2018,30054,24,0,371,376
23/4/2018,1,29800,16:00,30088.5,30/5/2018,30054,24,0,501,508
23/4/2018,1,28200,16:00,30088.5,30/5/2018,30054,24,0,148,152
23/4/2018,1,25600,16:00,30088.5,30/5/2018,30054,24,0,20,26
23/4/2018,1,26800,16:00,30088.5,30/5/2018,30054,24,0,52,55
23/4/2018,1,27400,16:00,30088.5,30/5/2018,30054,24,0,80,84
23/4/2018,1,31000,16:00,30088.5,30/5/2018,30054,24,1,244,248
23/4/2018,1,26400,16:00,30088.5,30/5/2018,30054,24,0,38,41
23/4/2018,1,25200,16:00,30088.5,30/5/2018,30054,24,0,15,21
23/4/2018,1,26600,16:00,30088.5,30/5/2018,30054,24,0,44,48
23/4/2018,1,26200,16:00,30088.5,30/5/2018,30054,24,0,34,36
23/4/2018,1,30600,16:00,30088.5,30/5/2018,30054,24,1,376,382
23/4/2018,1,23800,16:00,30088.5,30/5/2018,30054,24,0,7,9
23/4/2018,1,24600,16:00,30088.5,30/5/2018,30054,24,0,12,13
23/4/2018,1,24400,16:00,30088.5,30/5/2018,30054,24,0,10,14
23/4/2018,1,24800,16:00,30088.5,30/5/2018,30054,24,0,13,17
23/4/2018,1,30600,16:00,30088.5,30/5/2018,30054,24,0,872,912
23/4/2018,1,23400,16:00,30088.5,30/5/2018,30054,24,0,6,8
23/4/2018,1,24000,16:00,30088.5,30/5/2018,30054,24,0,8,10
23/4/2018,1,29000,16:00,30088.5,30/5/2018,30054,24,0,274,278
23/4/2018,1,29600,16:00,30088.5,30/5/2018,30054,24,0,431,437
23/4/2018,1,23600,16:00,30088.5,30/5/2018,30054,24,0,6,8
23/4/2018,1,23200,16:00,30088.5,30/5/2018,30054,24,0,5,7
23/4/2018,1,32800,16:00,30088.5,30/5/2018,30054,24,1,27,30
23/4/2018,1,27600,16:00,30088.5,30/5/2018,30054,24,0,94,98
23/4/2018,1,28000,16:00,30088.5,30/5/2018,30054,24,0,126,131
23/4/2018,1,30000,16:00,30088.5,30/5/2018,30054,24,1,667,676
23/4/2018,1,32200,16:00,30088.5,30/5/2018,30054,24,1,57,60
23/4/2018,1,27200,16:00,30088.5,30/5/2018,30054,24,0,69,73
23/4/2018,1,27000,16:00,30088.5,30/5/2018,30054,24,0,59,63
23/4/2018,1,30200,16:00,30088.5,30/5/2018,30054,24,1,558,565
23/4/2018,1,27800,16:00,30088.5,30/5/2018,30054,24,0,109,113
23/4/2018,1,25000,16:00,30088.5,30/5/2018,30054,24,0,14,17
24/4/2018,0,30800,16:00,30684.5,27/4/2018,30149.5,3,1,123,125
24/4/2018,0,31400,16:00,30684.5,27/4/2018,30149.5,3,1,12,14
24/4/2018,0,31200,16:00,30684.5,27/4/2018,30149.5,3,0,536,548
24/4/2018,0,31000,16:00,30684.5,27/4/2018,30149.5,3,1,60,61
24/4/2018,0,31000,16:00,30684.5,27/4/2018,30149.5,3,0,370,380
24/4/2018,0,30800,16:00,30684.5,27/4/2018,30149.5,3,0,235,241
