"","x"
"1985",68809
"1986",56999
"1987",68809
"1988",63244
"1989",68436
"1990",68809
"1991",72851
"1992",55918
"1993",68809
"1994",68809
"1995",70891
"1996",77710
"1997",68809
"1998",68809
"1999",70758
"2000",68809
"2001",85420
"2002",70241
"2003",84856
"2004",83632
"2005",67792
"2006",85490
"2007",73149
"2008",64002
"2009",80728
"2010",73263
"2011",73578
"2012",76821
"2013",78217
"2014",70284
"2015",50127
"2016",76766
"2017",65538
"2018",51557
"2019",70534
"2020",28109
"2021",62836
"2022",35695
"2023",65887
"2024",72612
"2025",42297
"2026",72796
"2027",35820
"2028",62262
"2029",35069
"2030",40070
"2031",65825
"2032",31650
"2033",65584
"2034",70822
"2035",70534
"2036",73461
"2037",70434
"2038",70187
"2039",78260
"2040",75083
"2041",70810
"2042",78793
"2043",70521
"2044",65556
"2045",70616
"2046",70845
"2047",64900
"2048",66740
"2049",73068
"2050",69859
"2051",65575
"2052",69827
"2053",90287
"2054",69809
"2055",67715
"2056",69781
"2057",77826
"2058",69924
"2059",68756
"2060",69695
"2061",69856
"2062",57240
"2063",64227
"2064",69843
"2065",72389
"2066",53610
"2067",72698
"2068",77976
"2069",72714
"2070",69809
"2071",65887
"2072",72574
"2073",68756
"2074",72393
"2075",66271
"2076",73084
"2077",72330
"2078",65378
"2079",63248
"2080",73414
"2081",73656
"2082",78136
"2083",73461
"2084",75072
"2085",67707
"2086",73096
"2087",66214
"2088",73518
"2089",63618
"2090",72796
"2091",73124
"2092",58878
"2093",73306
"2094",70845
"2095",65380
"2096",73302
"2097",61535
"2098",70688
"2099",64163
"2100",61894
"2101",61945
"2102",65550
"2103",62054
"2104",78786
"2105",68932
"2106",61908
"2107",64026
"2108",62051
"2109",67572
"2110",62122
"2111",61924
"2112",62197
"2113",77230
"2114",65705
"2115",65575
"2116",62402
"2117",73263
"2118",65806
"2119",68932
"2120",65721
"2121",87786
"2122",65780
"2123",65677
"2124",69695
"2125",68756
"2126",65378
"2127",64606
"2128",67074
"2129",73068
"2130",63119
"2131",78521
"2132",73348
"2133",63609
"2134",73263
"2135",73394
"2136",69781
"2137",73703
"2138",72547
